Zara Larsson-26,428,994-72,085-166-26,441,928
Ice Spice-26,397,072--46,500-49-47,203,544
Enrique Iglesias-26,159,718--18,491-164-26,646,610
Lil Durk-26,104,940--80,890-92-34,773,282
Major Lazer-26,034,906-111,468-179-26,034,906
Bee Gees-26,034,373-19,304-161-26,665,235
Eagles-25,655,642-323,951-190-25,655,642
Alicia Keys-25,632,649--5,008-169-25,833,027
Tory Lanez-25,530,066-21,656-180-25,530,066
Nicky Jam-25,489,696-32,992-128-30,366,327
Maria Becerra-25,449,056-69,096-159-26,919,900
Akon-25,414,537-3,443-157-26,975,304
Kid Cudi-25,397,735--29,615-173-25,747,237
DJ Khaled-25,267,276-611-124-29,389,696
Stevie Wonder-25,180,102-305,756-198-25,180,102
Pop Smoke-25,115,440-63,620-162-25,280,553
David Kushner-25,107,632-31,080-143-27,928,294
d4vd-25,104,454-69,108-94-31,836,766
Radiohead-25,030,161-30,780-177-25,390,483
Sebastian Yatra-24,976,828-27,387-137-28,235,688
Paul McCartney-24,820,749-517,106-204-24,820,749
Nat King Cole-24,724,698-656,315-205-24,724,698
JID-24,724,340-307,445-191-24,724,340
Trippie Redd-24,691,654-18,802-189-24,820,570
ZAYN-24,637,799--5,297-171-26,177,320
Stephen Sanchez-24,583,391-132,306-82-34,322,910
Metallica-24,566,273-3,578-144-26,870,829
Mac Miller-24,558,937-31,075-192-24,558,937
George Michael-24,491,061-260,210-212-24,491,061
Tainy-24,464,309--45,833-91-35,233,699
Nelly Furtado-24,363,968--69,702-159-26,852,495
Kygo-24,355,711--14,444-127-29,436,685
Macklemore & Ryan Lewis-24,207,531-65,364-190-24,596,486
Ryan Lewis-24,163,984-66,496-191-24,550,553
Amitabh Bhattacharya-24,099,945-13,091-160-26,965,104
Morgan Wallen-24,027,568-11,550-160-26,588,086
Vishal-Shekhar-24,004,506--10,143-189-24,626,006
Childish Gambino-23,996,903-59,992-205-23,996,903
Whitney Houston-23,955,118-73,216-186-24,487,241
Tyga-23,948,768-15,043-176-25,118,039
Mora-23,913,300--5,671-151-27,760,085
Daryl Hall & John Oates-23,876,716-320,019-225-23,876,716
Don Toliver-23,798,373-154,411-111-29,569,041
Robin Schulz-23,769,826--34,968-76-34,908,935
Shilpa Rao-23,581,517--19,429-158-27,043,156
Fall Out Boy-23,513,926-4,179-129-30,377,374
The Lumineers-23,470,190-48,904-212-23,764,006
Kacey Musgraves-23,447,291-35,877-223-23,447,291
