Eminem - The Marshall Mathers LP-3,985,457,302-3,477,383
Various Artists - Fifty Shades Of Grey-3,957,006,661-1,456,340
Taylor Swift - evermore-3,946,371,353-5,557,730
Major Lazer - Peace Is The Mission-3,943,948,387-1,163,637
The Neighbourhood - I Love You.-3,939,697,821-3,160,790
OneRepublic - Native-3,905,811,913-1,976,292
Doja Cat - Hot Pink-3,884,701,828-1,615,625
Zedd - Stay +-3,875,953,692-937,998
SZA - Ctrl-3,872,932,274-3,231,808
Lorde - Pure Heroine-3,871,216,560-1,889,700
Camila Cabello - Camila-3,852,314,717-720,765
Rihanna - Unapologetic-3,839,194,870-2,779,371
Drake - Nothing Was The Same-3,837,366,059-1,488,240
Linkin Park - Meteora-3,817,246,095-3,109,893
The Weeknd - Dawn FM-3,806,288,195-3,445,219
Michael Bublé - Christmas-3,794,145,991-13,907,372
Red Hot Chili Peppers - Californication-3,775,268,633-2,827,042
Ed Sheeran - +-3,762,270,104-874,345
benny blanco - FRIENDS KEEP SECRETS 2-3,751,973,264-1,244,185
Metro Boomin - HEROES & VILLAINS-3,740,385,867-8,591,604
Ozuna - Odisea-3,738,118,787-1,514,877
Glass Animals - Dreamland-3,738,012,412-1,829,899
Metallica - Metallica-3,727,115,330-1,705,759
Katy Perry - PRISM-3,711,985,222-1,950,694
Coldplay - Parachutes-3,706,157,417-3,517,580
Oasis - (What's The Story) Morning Glory?-3,685,564,544-1,750,868
Anuel AA - Emmanuel-3,674,738,415-1,276,493
Frank Ocean - channel ORANGE-3,674,046,213-3,024,809
Lauv - I met you when I was 18.-3,661,360,024-966,412
Vance Joy - Dream Your Life Away-3,660,717,487-1,681,058
Various Artists - Moana-3,651,550,359-1,232,935
Morgan Wallen - One Thing At A Time-3,644,735,857-7,040,930
Alessia Cara - Know-It-All-3,641,594,620-1,099,304
Ellie Goulding - Delirium-3,635,797,330-1,292,678
Lil Nas X - 7 EP-3,634,690,347-686,459
Eminem - The Marshall Mathers LP2-3,627,501,537-1,740,456
Thomas Rhett - 20 Number Ones-3,620,313,545-1,248,977
Tame Impala - Currents-3,606,315,988-2,489,215
Christian Nodal - Lo Mejor De Dos Grandes-3,597,486,366-2,047,055
The Weeknd - My Dear Melancholy,-3,573,255,065-2,526,947
Tiësto - DRIVE-3,547,304,346-2,499,087
Amy Winehouse - Back To Black-3,545,748,776-1,797,310
Eminem - Music To Be Murdered By-3,544,036,687-2,869,233
Kanye West - My Beautiful Dark Twisted Fantasy-3,541,020,772-3,269,946
Bryson Tiller - T R A P S O U L-3,535,500,238-1,977,236
J Balvin - OASIS-3,526,087,726-1,786,192
Beyoncé - I AM...SASHA FIERCE-3,505,628,494-1,511,900
BTS - BE-3,468,659,340-1,078,998
Lizzo - Cuz I Love You-3,440,172,764-628,134
Meghan Trainor - Title-3,426,056,955-1,683,679
Lil Uzi Vert - Eternal Atake-3,415,420,339-1,056,639
Rihanna - Loud-3,395,535,738-2,281,749
Imagine Dragons - Origins-3,393,971,639-1,462,481
The Killers - Hot Fuss-3,386,708,171-1,826,261
Coldplay - A Head Full of Dreams-3,381,998,727-1,562,228
Coldplay - A Rush of Blood to the Head-3,379,675,949-1,980,890
David Guetta - Listen Again-3,379,621,718-739,290
Avril Lavigne - Love Sux Japan Tour Edition-3,368,985,827-1,728,775
NF - Perception-3,363,116,155-1,127,146
Sam Smith - The Thrill Of It All-3,358,345,418-1,181,272
Pop Smoke - Meet The Woo 2-3,358,314,202-1,683,695
