Udo Lindenberg - Komet-176,431,323-239,445
Gorillaz - Tormenta-176,043,299-184,083
Doja Cat - Agora Hills-175,934,525-2,801,875
Daniel Caesar - Always-172,694,902-660,460
Big One - En La Intimidad | CROSSOVER #1-172,473,594-247,714
Natanael Cano - Mi Bello Angel-171,665,886-1,078,000
ENHYPEN - Bite Me-170,403,304-625,782
Gustavo Mioto - Quando Apaga A Luz-168,161,795-186,135
Ice Spice - Princess Diana-168,019,181-371,423
Maria Becerra - CORAZÃN VACÃO-166,671,223-564,339
Metro Boomin - Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)-166,668,656-654,560
Drake - IDGAF-165,655,965-2,156,804
Peso Pluma - LUNA-165,600,772-717,963
Charli XCX - Speed Drive (From Barbie The Album)-165,108,240-540,702
Taylor Swift - Enchanted (Taylor's Version)-164,679,134-800,967
V - Rainy Days-164,456,178-676,394
Alberto Vazquez - Maracas-164,354,060-93,138
KAROL G - S91-164,324,072-648,360
Bibi Babydoll - Automotivo Bibi Fogosa-163,000,750-756,275
Alfredo Olivas - Yo Todo Lo Doy-162,488,483-485,047
Jung Kook - Standing Next to You-161,486,311-4,239,076
MÃ¥neskin - GOSSIP-160,182,515-471,458
Saiko - POLARIS-158,897,512-519,260
Ice Spice - In Ha Mood-158,888,469-242,990
Sachin-Jigar - Phir Aur Kya Chahiye (From "Zara Hatke Zara Bachke")-158,838,127-415,599
Travis Scott - MY EYES-158,280,407-1,177,992
Eladio Carrion - Si La Calle Llama-157,858,136-259,906
Madhur Sharma - Kali Kali Zulfon Ke (Lo-Fi)-157,375,735-218,417
Ryan Castro - QUEMA-157,297,000-995,146
Young Miko - Lisa-156,089,490-434,515
Lewis Capaldi - Wish You The Best-155,921,637-572,524
LE SSERAFIM - UNFORGIVEN-155,395,992-400,524
Miguel - Sure Thing-154,734,416-243,279
Emilia - No_se_ve.mp3-153,811,537-409,761
Atif Aslam - Tera Hone Laga Hoon-153,376,616-237,381
Linkin Park - Lost-152,941,776-333,921
Bad Bunny - UN PREVIEW-152,692,922-1,111,682
Don Toliver - Private Landing-152,388,719-381,431
Taylor Swift - Is It Over Now? (Taylor's Version) (From The Vault)-152,345,772-2,648,169
Feid - REMIX EXCLUSIVO-152,116,185-288,601
NewJeans - New Jeans-152,115,970-601,365
Alex Favela - ELOVRGA-152,031,573-1,549,194
Pritam - Tere Pyaar Mein-151,726,432-338,823
j-hope - on the street-151,717,916-217,768
Aziz Hedra - Somebody's Pleasure-151,103,018-500,274
Peso Pluma - RUBICON-149,081,928-760,626
SEVENTEEN - Super-148,434,680-331,708
TWICE - MOONLIGHT SUNRISE-147,959,661-304,884
Peso Pluma - ROSA PASTEL-147,831,763-345,572
Olivia Rodrigo - get him back!-147,818,034-891,237
Pritam - O Bedardeya (From "Tu Jhoothi Main Makkaar")-147,389,528-285,066
Brray - CorazÃ³n Roto-147,379,651-536,128
ROSALÃA - LLYLM-147,285,924-168,261
Mc Livinho - Novidade na Ãrea-147,142,140-407,382
Grupo Firme - QuÃ© Onda Perdida-146,941,179-424,966
Metro Boomin - Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)-146,813,353-444,151
Odetari - GOOD LOYAL THOTS-146,193,090-470,528
Stray Kids - S-Class-145,950,974-414,345
Ghea Indrawari - Jiwa Yang Bersedih-145,674,164-680,545
Ke Personajes - Pobre CorazÃ³n-145,671,785-294,971
Purple Disco Machine - Substitution-145,314,116-426,180
Toosii - Favorite Song-145,245,288-222,522
Rels B - lo que hay x aquÃ­-145,243,868-490,367
Creeds - Push Up-145,137,241-531,245
Agust D - People Pt.2-143,624,410-348,317
KAROL G - PERO TÃ-143,048,603-448,035
TINI - MuÃ±ecas-143,032,875-151,653
TOMORROW X TOGETHER - Sugar Rush Ride-142,845,607-201,201
sped up 8282 - Cupid-142,580,887-183,402
MC Kevin o Chris - Faz um Vuk Vuk (Teto Espelhado)-142,285,242-580,858
The Weeknd - Double Fantasy-139,747,771-305,073
Lost Frequencies - Back To You-139,496,602-258,053
Morgan Wallen - Ainât That Some-138,945,115-362,450
Bailey Zimmerman - Religiously-138,749,887-478,789
Bizarrap - Rauw Alejandro: Bzrp Music Sessions, Vol. 56-138,742,757-325,815
Ana Castela - Solteiro ForÃ§ado-138,595,058-600,130
Miley Cyrus - Jaded-136,973,391-314,208
BENNETT - Vois sur ton chemin-135,495,924-1,296,716
Morgan Wallen - Cowgirls-135,397,612-503,034
NewJeans - ETA-135,062,605-634,437
KayBlack - Melhor SÃ³-134,854,077-211,694
Green Neon DJ - Puta Mexicana (Tik Tok Edit)-134,688,527-243,664
Michelle Maciel - CCC-134,501,654-499,703
Natanael Cano - Pacas De Billetes-134,370,420-486,136
Christian Nodal - Por el Resto de Tu Vida-133,553,406-359,548
Eslabon Armado - AsÃ­ Lo Quiso Dios-132,533,161-299,095
Darell - Lollipop-132,505,394-1,579,650
Taylor Swift - Hits Different-132,354,386-475,126
Shubh - Still Rollin-131,744,668-371,565
TINI - La Loto-130,946,006-66,560
Connor Price - Spinnin-130,150,172-177,329
Clayton & RomÃ¡rio - Namorando Ou NÃ£o-130,078,215-153,208
Alessandra - Queen of Kings-129,868,426-151,255
Morgan Wallen - Everything I Love-129,483,435-281,828
Gusttavo Lima - Saudade da Minha Vida-129,419,901-87,058
anees - sun and moon-128,465,217-103,836
Rauw Alejandro - RON COLA-128,344,571-125,032
Vilen - Chidiya-128,009,916-78,002
Darshan Raval - Mahiye Jinna Sohna-127,824,366-509,043
Guilherme & Benuto - Esse B.O Ã© Meu-127,809,550-75,117
Odetari - NARCISSISTIC PERSONALITY DISORDER-127,205,330-345,286
Drake - First Person Shooter-126,994,333-1,681,351
Sam Smith - I'm Not Here To Make Friends-126,843,389-166,333
Drake - Slime You Out-125,957,217-698,554
Bizarrap - ArcÃ¡ngel: Bzrp Music Sessions, Vol. 54-125,553,497-163,788
Taylor Swift - Back To December (Taylor's Version)-125,480,989-682,061
Luan Pereira - ELA PIROU NA DODGE RAM-125,451,787-204,293
1nonly - Step Back!-124,804,861-214,758
TAEYANG - Shoong!-124,197,832-189,230
Taylor Swift - Snow On The Beach-123,949,472-464,909
Guilherme & Benuto - Manda um Oi-123,440,900-734,624
Atif Aslam - Tu Jaane Na-123,140,576-175,713
Lil Mabu - MATHEMATICAL DISRESPECT-123,039,331-262,706
Hozier - Eat Your Young-122,923,263-399,780
Odetari - LOOK DON'T TOUCH (w/ cade clair)-122,826,966-411,673
Metro Boomin - Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)-122,825,769-379,876
Nicki Nicole - DISPARA ***-122,706,627-414,148
Rauw Alejandro - PANTIES Y BRASIERES-122,578,348-145,308
NF - HOPE-122,504,943-318,558
Maluma - COCO LOCO-122,484,092-490,474
MatuÃª - ConexÃµes de MÃ¡fia-122,480,011-198,189
Naiara Azevedo - PalhaÃ§a-122,355,022-114,737
Oliver Anthony Music - Rich Men North of Richmond-121,272,943-552,961
Dermot Kennedy - Kiss Me-120,536,446-169,333
Lil Tecca - 500lbs-120,281,052-1,585,834
Kordhell - SCOPIN-119,911,177-249,529
Lewis Capaldi - Pointless-119,910,817-171,249
Bobby Pulido - Se MuriÃ³ De Amor-119,816,532-165,908
Lola Indigo - EL TONTO-119,778,569-185,036
Miley Cyrus - Used To Be Young-119,624,003-610,798
Luke Combs - Love You Anyway-119,557,737-265,695
Fuerza Regida - HARLEY QUINN-119,142,204-3,094,894
Calvin Harris - Desire-119,116,465-748,704
Post Malone - Mourning-118,920,979-360,157
Sabrina Carpenter - Feather-117,812,928-1,360,656
Kanii - I Know-117,766,550-209,598
KÃ¤Ã¤rijÃ¤ - Cha Cha Cha-117,640,807-102,705
Mc Pedrinho - Gol Bolinha, Gol Quadrado 2-116,859,202-221,768
MC Caverinha - CartÃ£o Black-116,839,098-168,081
Jessie Murph - Pray-116,472,178-159,192
Duelo - Malabares-116,442,968-92,311
Miley Cyrus - River-116,276,653-149,304
Alta Consigna - Culpable TÃº-116,086,716-72,751
Hugo & Guilherme - MÃ¡gica-115,862,023-205,738
S3BZS - MONTAGEM-115,788,200-1,318,282
Grupo Frontera - OJITOS ROJOS-115,361,854-785,782
Selena Gomez - Single Soon-115,177,436-761,171
Ice Spice - Munch (Feelinâ U)-114,702,206-120,535
Luan Santana - MEIO TERMO-114,679,733-407,389
Noah Kahan - Dial Drunk-114,530,811-746,056
Pritam - Pyaar Hota Kayi Baar Hai-114,446,243-255,602
Alfredo Olivas - No-114,414,234-357,664
Peter Fox - Zukunft Pink-114,210,120-75,036
Louis Armstrong - Summertime-114,069,770-53,987
Taylor Swift - Now That We Don't Talk (Taylor's Version) (From The Vault)-113,911,080-1,729,826
Taylor Swift - Mine (Taylor's Version)-113,829,780-451,706
Vulgo FK - Ballena-113,674,761-427,176
Tiago PZK - Me EnterÃ©-112,526,955-220,215
El Alfa - PLEBADA-112,342,645-357,325
IVE - Kitsch-112,291,987-194,593
OneRepublic - West Coast-111,753,914-77,746
SUICIDAL-IDOL - ecstacy (slowed)-111,744,206-987,554
MÃ¥neskin - BABY SAID-111,736,957-335,878
Morgan Wallen - Don't Think Jesus-111,634,077-75,751
LE SSERAFIM - Eve, Psyche & The Bluebeardâs wife-111,502,406-384,001
ZÃ© Neto & Cristiano - PÃ¡tio do Posto-110,706,153-250,247
Maluma - Junio-110,187,685-87,088
Hailee Steinfeld - Coast-110,183,785-105,458
Miksu / Macloud - Nachts wach-109,988,899-92,779
Olivia Rodrigo - all-american bitch-109,914,210-645,872
Felipe Amorim - Toca o Trompete-109,268,035-498,983
AYLIVA - Sie weiÃ-108,993,913-130,032
Bad Bunny - FINA-108,673,191-1,154,253
6YNTHMANE - BRAZILIAN DANÃA PHONK-108,376,857-468,655
J Hus - Who Told You-108,319,287-197,976
Morgan Wallen - I Wrote The Book-108,267,164-200,396
Tyler, The Creator - DOGTOOTH-108,226,711-241,860
Juan MagÃ¡n - Verano Azul-107,743,697-50,380
Dominic Fike - Mona Lisa-107,698,152-309,493
Odetari - GMFU (w/ 6arelyhuman)-107,635,369-591,893
Nicki Nicole - quÃ© le pasa conmigo?-106,916,182-303,903
Pritam - Zara Sa-106,683,171-157,048
KayBlack - Segredo-106,531,476-314,532
Peso Pluma - NUEVA VIDA-106,363,320-727,490
YOASOBI - ç¥ç¦-105,800,107-235,412
Tito Double P - DEMBOW BÃLICO-105,778,782-541,131
Kali Uchis - I Wish you Roses-105,608,955-221,077
Mora - REINA-105,605,497-739,677
Gusttavo Lima - Mala dos Porta-Mala-105,507,170-462,110
Ingrid Andress - Wishful Drinking-105,363,848-41,442
Joel Corry - I Wish-105,217,840-32,738
Peso Pluma - VVS-104,892,257-344,993
Finesse - Gelosa-104,878,101-145,009
AP Dhillon - With You-104,739,165-434,512
Ice Spice - Deli-104,716,530-540,281
Semicenk - PiÅman DeÄilim-104,667,033-169,371
Duelo - Sentimientos De CartÃ³n-104,599,361-78,281
NewJeans - Cool With You-104,512,621-409,251
Mimi Webb - House On Fire-104,487,990-59,811
Iniko - Jericho-104,485,682-229,590
Natanael Cano - Como Es Arriba Es Abajo-104,479,750-303,929
Shania Twain - From This Moment On-104,371,219-46,713
SZA - Kill Bill-104,307,480-98,346
Jorge & Mateus - Logo Eu-104,144,204-105,656
Intocable - Alguien Te Va A Hacer Llorar-104,051,985-49,365
Julia Michaels - 17-103,993,794-13,903
Davido - UNAVAILABLE-103,953,701-254,797
Tyler Hubbard - Dancinâ In The Country-103,757,379-142,162
KayBlack - Preferida-103,373,441-189,299
Anirudh Ravichander - Naa Ready-103,314,283-389,869
Gustavo Mioto - Fake News-103,266,014-53,317
Shakira - Copa VacÃ­a-103,090,978-350,487
Juanes - Me Enamora-102,887,822-128,672
TINI - Maldita Foto-102,866,910-43,538
Ana Mena - LAS 12-102,747,105-76,040
Milky Chance - Colorado-102,295,481-50,253
ZÃ© Neto & Cristiano - Um MÃªs E Pouco-102,219,480-423,194
Andrea Bocelli - The Prayer-101,915,832-64,381
Sergio Vega "El Shaka" - QuiÃ©n Es Usted-101,906,661-90,274
BLOK3 - AFFETMEM-101,392,050-134,895
Veigh - Engana Dizendo Que Ama-101,329,787-248,921
Anirudh Ravichander - Dippam Dappam (From "Kaathuvaakula Rendu Kaadhal")-100,759,224-96,594
Jazzy - Giving Me-100,746,515-
XG - SHOOTING STAR-100,658,343-
Anirudh Ravichander - Hukum-100,593,397-
LiberaciÃ³n - CÃ³mo EstÃ¡s TÃº-100,558,743-90,403
Taylor Swift - "Slut!" (Taylor's Version) (From The Vault)-100,314,278-
Andmesh - Andaikan Kau Datang-100,171,950-
Travis Scott - TOPIA TWINS-100,114,639-
