David Bowie-7,370.4-3.243-5,871.3-5,741.3-1,499.2
Bastille-7,340.4-2.600-4,872.7-4,452.7-2,467.7
Troye Sivan-7,339.2-4.898-5,104.6-4,227.8-2,234.6
Frank Sinatra-7,325.2-9.645-7,112.1-5,366.7-213.1
NAV-7,315.5-1.965-4,751.5-1,576.8-2,564.0
blink-182-7,274.2-3.933-7,169.8-7,135.8-104.4
The 1975-7,239.4-3.339-7,032.5-7,011.8-206.9
The Notorious B.I.G.-7,237.8-3.280-6,050.8-4,423.6-1,187.1
Kehlani-7,205.6-2.006-3,716.6-2,505.9-3,489.0
System Of A Down-7,202.6-4.416-7,201.8-7,188.4-0.8
JhenÃ© Aiko-7,185.9-3.760-3,848.5-1,994.4-3,337.4
ABBA-7,152.9-4.409-7,152.9-7,152.9-
Natanael Cano-7,103.3-14.132-4,997.2-2,807.0-2,106.2
The Killers-7,079.1-3.458-7,078.6-6,926.5-0.5
Paulo Londra-7,013.3-3.042-5,570.7-4,499.7-1,442.6
Dalex-6,990.5-2.168-3,215.4-395.6-3,775.1
T-Pain-6,881.8-3.659-2,901.5-506.0-3,980.3
Paramore-6,859.7-4.510-6,859.7-6,835.3-
Tove Lo-6,845.8-2.019-4,288.9-3,153.4-2,556.8
Led Zeppelin-6,843.3-2.951-6,843.3-6,843.3-
Daniel Caesar-6,812.2-6.709-4,985.3-2,467.3-1,826.9
PARTYNEXTDOOR-6,789.3-4.822-4,178.4-2,514.0-2,610.9
Slipknot-6,762.0-4.124-6,762.0-6,762.0-
6ix9ine-6,760.7-1.181-5,452.8-1,883.4-1,308.0
Rammstein-6,760.5-4.051-6,760.5-6,661.2-
Ãengo Flow-6,740.7-5.573-1,300.5-433.6-5,440.2
Tainy-6,730.9-4.415-2,960.6--3,770.4
Kesha-6,717.9-2.782-4,681.6-4,233.7-2,036.2
Rita Ora-6,713.1-1.597-3,400.0-2,564.2-3,313.1
Chencho Corleone-6,680.7-5.259-185.5-104.1-6,495.2
Madonna-6,665.8-4.998-6,044.0-5,085.0-621.8
De La Ghetto-6,651.8-3.059-1,061.0-324.7-5,590.8
Bon Jovi-6,637.6-3.469-6,635.8-6,554.4-1.8
Marc Anthony-6,622.0-2.734-4,091.1-3,850.6-2,530.9
Rels B-6,615.4-8.969-5,441.1-4,449.0-1,174.3
Quevedo-6,604.3-13.765-3,350.2-2,204.8-3,254.0
Rae Sremmurd-6,560.8-1.622-5,799.5-3,171.5-761.3
Alok-6,551.4-4.129-5,204.7-210.7-1,346.7
NATTI NATASHA-6,547.0-1.661-2,857.0-598.3-3,690.0
Anderson .Paak-6,541.4-2.832-2,065.8-1,090.8-4,475.6
Creedence Clearwater Revival-6,527.0-4.646-6,527.0-6,522.8-
Grupo Firme-6,525.8-5.506-5,132.4-1,653.7-1,393.3
6LACK-6,495.5-2.172-3,122.1-2,126.9-3,373.4
Eladio Carrion-6,482.6-8.381-4,749.5-1,610.1-1,733.1
Fetty Wap-6,423.7-1.423-3,918.7-2,214.6-2,505.0
Mora-6,413.9-12.007-4,869.4-1,685.4-1,544.5
Luke Bryan-6,400.3-2.523-5,543.2-5,453.9-857.1
Carin Leon-6,384.6-13.585-4,575.3-3,355.0-1,809.3
ZÃ© Neto & Cristiano-6,371.1-4.272-5,464.7-5,261.5-906.4
Bonez MC-6,359.5-2.572-3,397.8-715.0-2,961.7
T.I.-6,350.5-2.038-3,276.9-1,199.7-3,073.6
Muse-6,308.6-2.587-6,308.6-6,284.5-
The Lumineers-6,307.0-3.881-6,233.8-6,219.6-73.2
Jonas Brothers-6,306.3-3.570-4,959.5-4,756.6-1,346.8
Felix Jaehn-6,251.8-2.186-2,792.1-45.7-3,459.7
Jennifer Lopez-6,237.8-2.243-5,063.0-2,090.6-1,174.7
Wizkid-6,209.1-3.093-1,480.2-532.0-4,728.9
Oasis-6,206.0-3.245-6,206.0-6,205.2-
Stray Kids-6,176.1-9.553-6,121.5-5,989.4-54.6
Lil Tecca-6,160.2-0.021-5,299.1-4,177.0-861.1
Niall Horan-6,142.7-2.771-4,977.6-4,647.5-1,165.1
Charli XCX-6,120.8-2.806-2,997.8-1,822.2-3,123.0
Ludacris-6,118.5-2.996-1,646.3-517.0-4,472.1
Matheus & Kauan-6,108.9-3.519-4,838.3-3,458.9-1,270.6
Maria Becerra-6,079.1-6.820-2,115.3-1,472.1-3,963.8
Bryant Myers-6,066.3-5.711-2,099.2-735.8-3,967.1
Jack Johnson-6,060.6-2.312-5,841.2-5,671.3-219.4
Bring Me The Horizon-6,055.5-4.468-5,656.8-5,043.7-398.7
Juicy J-6,040.2-1.999-1,327.3-118.6-4,712.9
My Chemical Romance-6,030.0-4.031-6,030.0-5,996.8-
Steve Aoki-5,979.0-1.508-3,489.8-12.1-2,489.2
Anirudh Ravichander-5,960.5-11.919-4,831.9-1,242.3-1,128.6
Hailee Steinfeld-5,948.4-1.016-5,380.4-2,189.5-568.1
Glass Animals-5,932.3-2.680-5,920.2-5,481.4-12.2
Brent Faiyaz-5,929.3-0.878-4,407.7-3,890.3-1,521.6
RAF Camora-5,913.9-2.550-2,529.9-1,176.2-3,383.9
Fuerza Regida-5,913.0-18.784-4,710.5-2,090.6-1,202.5
Jess Glynne-5,902.7-1.664-2,497.4-2,193.3-3,405.4
R3HAB-5,898.2-2.233-3,533.7-166.6-2,364.5
Sfera Ebbasta-5,892.5-8.364-2,504.5-1,570.9-3,388.0
Piso 21-5,886.4-3.050-5,209.0-1,205.0-677.4
Alesso-5,836.1-1.900-3,384.5-696.7-2,451.6
MÃ-5,831.7-2.978-1,566.3-1,251.2-4,265.4
Kevin Gates-5,830.5-1.506-4,945.3-4,305.1-885.2
Mumford & Sons-5,804.5-1.647-5,633.0-5,416.9-171.5
Florence + The Machine-5,803.3-3.146-5,803.3-5,419.8-
Bazzi-5,781.7-1.414-5,707.9-4,811.4-73.8
ScHoolboy Q-5,762.8-1.525-3,574.5-1,271.2-2,188.3
Whitney Houston-5,748.2-2.865-4,852.5-4,313.3-895.6
League of Legends-5,745.1-4.913-2,479.6-345.3-3,265.4
Nickelback-5,737.1-2.984-5,737.1-5,693.7-
Kid Ink-5,732.1-1.160-2,521.1-783.0-3,211.0
Conan Gray-5,728.7-4.667-5,575.4-5,575.4-153.4
MÃ¥neskin-5,717.9-0.005-5,711.8-5,516.5-6.1
ManÃ¡-5,671.8-3.775-5,671.4-4,328.7-0.4
Stevie Wonder-5,668.6-3.533-5,266.6-5,091.7-402.0
Summer Walker-5,663.1-4.753-4,702.5-2,284.2-960.6
Mark Ronson-5,662.3-1.784-4,056.7-9.2-1,605.7
Tate McRae-5,649.3-11.950-4,771.6-4,390.0-877.7
JID-5,645.2-5.102-1,525.5-754.4-4,119.7
Prince Royce-5,607.0-2.368-4,173.4-2,684.1-1,433.6
Bruce Springsteen-5,601.2-2.771-5,538.6-5,527.5-62.6
Cartel De Santa-5,598.9-3.101-5,199.9-3,564.8-398.9
Alejandro FernÃ¡ndez-5,580.2-2.334-5,208.2-4,260.9-371.9
Kings of Leon-5,580.0-2.306-5,580.0-5,565.2-
Kelly Clarkson-5,547.3-5.983-5,262.4-4,936.8-284.9
Avril Lavigne-5,535.3-2.790-5,413.3-5,138.1-122.0
Disclosure-5,529.0-1.518-5,330.4-554.9-198.7
Aventura-5,523.5-3.812-5,482.7-3,645.7-40.8
Lizzo-5,496.5-1.736-5,346.4-4,354.0-150.1
Kane Brown-5,485.7-1.896-3,768.4-2,413.0-1,717.4
Wesley SafadÃ£o-5,484.3-2.430-3,681.9-2,264.6-1,802.4
Maiara & Maraisa-5,463.5-2.402-2,080.4-1,727.7-3,383.1
Five Finger Death Punch-5,459.0-1.959-5,459.0-5,148.9-
Zach Bryan-5,448.5-16.510-5,448.5-4,788.9-
Cheat Codes-5,445.1-0.667-3,537.1-189.9-1,908.0
Vance Joy-5,445.0-2.542-5,295.6-5,201.4-149.4
Ski Mask The Slump God-5,437.5-2.001-3,718.2-2,529.0-1,719.2
NLE Choppa-5,435.6-3.715-4,262.9-2,616.0-1,172.7
Giveon-5,434.4-3.404-3,082.6-3,031.9-2,351.7
The Script-5,420.0-2.131-5,399.8-4,108.1-20.2
Aerosmith-5,412.7-2.704-5,169.8-5,162.8-242.9
Capital Bra-5,365.2-1.046-3,818.0-1,472.7-1,547.2
Brytiago-5,357.4-2.652-1,948.2-138.1-3,409.2
Amy Winehouse-5,340.7-2.687-4,859.9-4,737.7-480.8
Nate Dogg-5,339.7-2.816-806.1-147.2-4,533.6
Rex Orange County-5,318.9-2.270-4,923.5-4,330.7-395.3
Danny Ocean-5,310.3-3.169-4,177.0-4,008.4-1,133.3
Jason Mraz-5,309.4-1.734-5,136.9-4,343.7-172.5
Calibre 50-5,288.9-2.459-4,822.3-4,430.0-466.6
iann dior-5,287.3-1.341-2,521.3-1,321.9-2,766.1
Steve Lacy-5,285.1-7.426-4,492.4-4,409.9-792.7
Burna Boy-5,282.9-4.481-3,061.9-2,176.6-2,221.0
Johnny Cash-5,281.1-2.083-4,634.8-3,642.2-646.3
Galantis-5,277.6-1.063-4,631.7-2,615.4-645.9
YNW Melly-5,275.8-2.098-4,804.0-3,162.2-471.8
Chris Stapleton-5,273.2-0.290-4,241.6-4,241.6-1,031.6
